Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),Country,Year
Intermediate goods,42363407.66,26512906.34,21.36,10.00,1.22,8.84,8.79,0.01,0.01,2777,0.25,99.50,0.00,0.25,17.50,0.00,0.00,100887.48,26324957.73,3.96,2.54,2777,58.91,36.30,0.94,3.85,350.00,0.00,491471.94,16714929.77,9710915.44,Mexico,2011
Raw materials,14660435.14,51576298.25,7.39,19.45,1.43,12.87,12.13,0.39,0.00,615,0.33,98.21,0.16,1.30,163.80,0.00,2158.94,18265.27,51367016.69,2.60,3.36,615,24.55,46.02,1.63,27.80,350.00,0.00,40295475.74,49475539.39,1909742.57,Mexico,2011
Animal,4046667.36,1565666.07,2.04,0.59,1.51,6.55,6.84,0.37,0.11,341,16.72,79.18,0.59,3.52,25.00,0.00,2209.04,70607.57,1495058.50,3.51,2.53,341,40.47,25.22,2.93,31.38,112.37,0.00,2872.89,1147750.21,417915.86,Mexico,2011
Chemicals,14267018.48,3219242.72,7.20,1.21,1.11,7.46,8.53,0.00,0.00,1086,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,3220005.60,2.98,2.08,1086,70.99,28.18,0.00,0.83,6.50,0.00,0.00,1753913.70,1466091.91,Mexico,2011
Food Products,4463727.32,7446599.92,2.25,2.81,1.40,8.28,11.54,0.67,0.51,639,10.02,88.11,0.00,1.88,131.80,0.00,0.00,1396563.26,6050036.66,9.41,12.13,639,44.44,17.68,5.95,31.92,350.00,0.00,1783141.54,5247348.21,2199251.70,Mexico,2011
Footwear,148597.00,432223.14,0.07,0.16,0.11,9.22,0.32,0.00,0.00,172,0.00,99.42,0.00,0.58,0.00,0.00,0.00,0.00,432223.14,8.40,8.76,172,65.70,19.19,2.91,12.21,50.65,0.00,43987.43,410206.66,22016.48,Mexico,2011
Fuels,23630158.70,44365231.08,11.92,16.73,1.59,20.65,28.12,0.00,0.00,43,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,44365231.08,1.18,6.73,43,11.63,37.21,46.51,4.65,9.78,0.00,44270290.60,44270290.60,94940.48,Mexico,2011
Hides and Skins,456254.76,187173.43,0.23,0.07,0.59,12.11,4.30,0.00,0.00,201,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,187173.43,4.01,4.59,201,81.59,17.91,0.00,0.50,20.00,0.00,0.00,182826.53,4346.90,Mexico,2011
Mach and Elec,63737975.88,93268445.57,32.14,35.18,0.66,4.99,6.03,0.00,0.00,1172,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,93307612.75,1.44,1.50,1172,47.70,51.88,0.34,0.09,15.00,0.00,57929.95,54328128.84,38979483.92,Mexico,2011
Metals,14735366.04,10053843.33,7.43,3.79,1.07,8.48,6.46,0.00,0.00,798,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,10053843.33,1.63,1.51,798,41.35,53.63,3.51,1.50,15.00,0.00,86444.96,5385093.83,4668749.50,Mexico,2011
Minerals,1323507.39,670480.72,0.67,0.25,1.01,16.67,25.13,0.00,0.00,73,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,670480.72,0.38,0.38,73,6.85,82.19,0.00,10.96,11.21,0.00,0.00,241934.52,428546.20,Mexico,2011
Miscellaneous,15132519.82,24166601.64,7.63,9.12,0.68,6.73,5.85,0.00,0.00,637,0.00,98.74,0.00,1.26,0.00,0.00,0.00,0.00,17369524.61,2.28,0.98,637,44.74,43.01,6.75,5.49,32.00,0.00,47005.39,5594255.27,11775269.34,Mexico,2011
Plastic or Rubber,15313825.41,5305009.50,7.72,2.00,1.35,4.98,2.65,0.00,0.00,348,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,5265821.56,3.75,4.01,348,79.89,20.11,0.00,0.00,14.00,0.00,0.00,4878651.97,387169.59,Mexico,2011
Stone and Glass,2217738.90,11970042.14,1.12,4.52,1.06,8.24,5.80,0.00,0.00,357,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,11970042.14,3.34,2.32,357,63.31,35.01,0.00,1.68,38.00,0.00,0.00,11346276.20,623765.94,Mexico,2011
Textiles and Clothing,5201466.63,5561367.72,2.62,2.10,1.05,8.38,7.42,0.00,0.00,1257,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,5561367.72,9.12,10.37,1257,83.29,12.09,0.08,4.53,32.00,0.00,28.73,5454400.22,106967.50,Mexico,2011
Transportation,18870515.68,46776988.49,9.52,17.64,1.13,8.85,10.14,0.00,0.00,211,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,46776988.49,3.09,7.10,211,51.66,48.34,0.00,0.00,25.00,0.00,0.00,45318298.11,1458690.38,Mexico,2011
Vegetable,9387864.38,8606525.82,4.73,3.25,1.43,16.99,14.22,0.58,0.02,404,0.50,98.76,0.00,0.74,163.80,0.00,0.00,32404.97,8573378.72,3.73,4.02,404,32.67,22.77,0.50,44.06,163.80,0.00,300389.11,8026987.32,578796.36,Mexico,2011
Wood,5355485.49,1518383.16,2.70,0.57,1.41,2.40,1.83,0.00,0.00,422,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,1518383.16,0.78,0.35,422,20.85,78.44,0.00,0.71,18.00,0.00,0.00,192017.27,1326365.89,Mexico,2011
All Products,215875039.16,279957416.74,100.00,100.00,1.00,2.80,3.04,0.03,0.02,8240,1.31,98.28,0.04,0.38,131.80,0.00,3767.47,1527151.85,268783103.58,3.69,3.53,8240,55.66,35.01,1.76,7.57,350.00,0.00,41583085.99,202131683.34,68178572.08,Mexico,2012
Capital goods,85356468.86,118168519.35,39.54,42.21,0.74,3.95,5.65,0.00,0.00,1379,0.00,99.71,0.00,0.29,0.00,0.00,0.00,0.00,117215064.71,1.53,3.66,1379,46.70,52.21,0.44,0.65,25.00,0.00,36410.10,70996422.38,46218642.33,Mexico,2012
Consumer goods,60099392.67,76981930.33,27.84,27.50,1.19,1.47,0.94,0.08,0.06,3191,3.17,96.36,0.03,0.44,131.80,0.00,289.13,1396332.94,73784137.82,5.19,3.88,3191,62.43,24.38,2.85,10.34,350.00,0.00,2823501.49,66104108.82,9076361.95,Mexico,2012
Intermediate goods,46498481.52,27840582.41,21.54,9.94,1.21,3.15,2.91,0.01,0.01,2756,0.25,99.53,0.00,0.22,17.50,0.00,0.00,108621.00,27121627.91,3.86,1.70,2756,58.93,36.47,0.83,3.77,350.00,0.00,138331.94,16358205.68,10872043.23,Mexico,2012
Raw materials,14876429.51,49651348.05,6.89,17.74,1.44,-7.08,-6.49,0.00,0.00,537,0.00,99.44,0.00,0.56,6.37,0.00,0.00,11771.10,47040892.22,2.16,3.42,537,26.82,45.44,1.12,26.63,350.00,0.00,37579510.85,45670406.13,1382257.19,Mexico,2012
Animal,4227179.44,1896190.03,1.96,0.68,1.62,-0.76,3.07,0.22,0.10,355,12.39,83.66,0.85,3.10,25.00,0.00,3767.47,76044.66,1773742.47,2.32,2.97,355,34.08,35.77,3.38,26.76,117.39,0.00,4208.40,1463118.54,386668.60,Mexico,2012
Chemicals,15927586.08,3456966.00,7.38,1.23,1.11,2.46,3.03,0.00,0.00,1114,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,3382971.61,2.96,2.08,1114,71.01,28.19,0.00,0.81,6.50,0.00,0.00,1788566.64,1594404.97,Mexico,2012
Food Products,4812428.88,7247403.03,2.23,2.59,1.45,3.06,5.00,0.55,0.60,638,10.03,88.40,0.00,1.57,131.80,0.00,0.00,1409312.65,5681926.76,9.10,8.93,638,44.20,17.08,6.90,31.82,350.00,0.00,1255694.31,4771392.19,2319847.22,Mexico,2012
Footwear,140625.83,559412.78,0.07,0.20,0.12,6.08,11.77,0.00,0.00,193,0.00,99.48,0.00,0.52,0.00,0.00,0.00,0.00,554508.31,7.98,7.83,193,69.43,17.10,2.59,10.88,49.79,0.00,58511.31,529657.67,24850.64,Mexico,2012
Fuels,23658186.16,40203152.13,10.96,14.36,1.62,-2.43,-1.37,0.00,0.00,42,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,39824536.20,1.24,6.52,42,11.90,35.71,47.62,4.76,9.30,0.00,39722066.21,39722066.21,102469.99,Mexico,2012
Hides and Skins,504463.97,254483.27,0.23,0.09,0.57,8.27,7.19,0.00,0.00,204,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,251316.76,3.97,5.01,204,81.86,17.65,0.00,0.49,20.00,0.00,0.00,247961.85,3354.91,Mexico,2012
Mach and Elec,69841803.22,99516330.52,32.35,35.55,0.67,3.18,4.64,0.00,0.00,1191,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,99133374.39,1.46,1.53,1191,48.11,51.47,0.34,0.08,15.00,0.00,31360.86,58640032.78,40493341.62,Mexico,2012
Metals,16618465.00,10286501.89,7.70,3.67,1.05,4.60,3.58,0.00,0.00,827,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,10146833.23,1.61,1.65,827,40.63,54.17,3.39,1.81,15.00,0.00,100747.40,5740082.87,4406750.36,Mexico,2012
Minerals,1550017.99,516320.32,0.72,0.18,1.01,-0.67,-0.74,0.00,0.00,80,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,469186.61,0.40,0.38,80,8.75,81.25,0.00,10.00,11.02,0.00,0.00,139295.87,329890.74,Mexico,2012
Miscellaneous,17422489.68,27235471.98,8.07,9.73,0.81,8.07,18.36,0.00,0.00,626,0.00,99.04,0.00,0.96,0.00,0.00,0.00,0.00,19966086.81,2.30,1.05,626,48.08,42.81,4.47,4.63,32.00,0.00,48480.53,6482687.36,13483399.46,Mexico,2012
Plastic or Rubber,17013218.94,5818483.89,7.88,2.08,1.32,4.28,3.30,0.00,0.00,346,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,5709563.11,3.73,3.93,346,79.48,20.52,0.00,0.00,14.00,0.00,0.00,5271375.47,438187.65,Mexico,2012
Stone and Glass,2270146.44,12002625.74,1.05,4.29,1.06,1.33,1.25,0.00,0.00,353,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,11945873.53,3.53,2.33,353,66.29,32.29,0.00,1.42,38.00,0.00,0.00,11346642.07,599231.46,Mexico,2012
Textiles and Clothing,5007808.14,5415425.15,2.32,1.93,0.97,-0.44,-3.92,0.00,0.00,1246,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,5368497.60,9.05,10.26,1246,83.15,12.44,0.16,4.25,32.00,0.00,14.23,5263605.91,104891.69,Mexico,2012
Transportation,21541569.22,54840091.02,9.98,19.59,1.12,6.53,6.23,0.00,0.00,208,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,54535224.25,2.73,7.24,208,50.96,49.04,0.00,0.00,25.00,0.00,0.00,52450415.29,2084808.96,Mexico,2012
Vegetable,9809228.74,9112788.43,4.54,3.26,1.36,-7.79,-9.60,0.02,0.00,416,0.00,99.28,0.00,0.72,5.91,0.00,0.00,41794.53,8673559.42,3.68,3.95,416,33.41,23.32,0.48,42.79,131.80,0.00,362002.75,8061880.48,653473.47,Mexico,2012
Wood,5529821.42,1595770.56,2.56,0.57,1.40,0.55,0.66,0.00,0.00,401,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,1365902.52,0.72,0.42,401,19.70,79.30,0.00,1.00,18.00,0.00,0.00,212902.17,1153000.35,Mexico,2012
All Products,226070226.71,283133714.14,100.00,100.00,1.00,1.40,0.56,0.03,0.02,8271,1.48,98.04,0.04,0.45,131.80,0.00,5701.66,1576043.82,271555434.88,3.74,3.72,8271,55.28,34.53,2.13,8.06,350.00,0.00,36969338.37,203504875.04,69626603.66,Mexico,2013
Capital goods,92456507.53,124571551.37,40.90,44.00,0.73,2.31,0.68,0.00,0.00,1372,0.00,99.71,0.00,0.29,0.00,0.00,0.00,0.00,123476387.29,1.54,3.86,1372,46.50,52.41,0.44,0.66,25.00,0.00,36400.88,76796735.51,46679651.78,Mexico,2013
Consumer goods,61506030.31,80511087.65,27.21,28.44,1.18,1.86,0.57,0.08,0.05,3277,3.51,96.00,0.03,0.46,131.80,0.00,217.73,1425797.69,76912312.32,5.23,3.81,3277,61.67,23.62,3.72,10.99,350.00,0.00,2823552.55,68528067.32,9810042.69,Mexico,2013
Intermediate goods,47490213.41,25436719.54,21.01,8.98,1.27,-0.25,1.30,0.01,0.01,2730,0.26,99.45,0.00,0.29,17.50,0.00,0.00,125427.93,24379897.18,3.84,1.67,2730,58.42,36.70,0.84,4.03,350.00,0.00,235148.72,13409121.51,11096203.60,Mexico,2013
Raw materials,14498428.14,45161208.61,6.41,15.95,1.49,3.16,4.02,0.00,0.00,529,0.00,99.05,0.00,0.95,6.17,0.00,0.00,9929.10,42559521.20,2.12,3.65,529,26.09,43.86,1.13,28.92,350.00,0.00,32272833.38,41286662.56,1282787.74,Mexico,2013
Animal,4866261.87,1771898.10,2.15,0.63,1.61,9.09,7.65,0.27,0.10,384,15.10,80.73,0.78,3.39,25.00,0.00,5701.66,78677.37,1650106.50,2.77,3.36,384,38.28,29.69,3.39,28.65,110.49,0.00,5986.23,1313400.79,415383.08,Mexico,2013
Chemicals,15849965.59,3714931.37,7.01,1.31,1.14,1.20,1.50,0.00,0.00,1102,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,3641421.35,2.93,2.20,1102,70.33,28.95,0.00,0.73,6.50,0.00,0.00,2008476.49,1632944.86,Mexico,2013
Food Products,4956136.03,8130659.79,2.19,2.87,1.47,1.73,1.60,0.55,0.51,638,10.03,88.40,0.00,1.57,131.80,0.00,0.00,1460880.37,6457554.02,9.37,10.22,638,44.20,16.14,7.05,32.60,350.00,0.00,1615736.05,5442649.25,2475785.14,Mexico,2013
Footwear,164224.84,621494.82,0.07,0.22,0.12,2.35,2.39,0.00,0.00,190,0.00,99.47,0.00,0.53,0.00,0.00,0.00,0.00,616792.65,8.35,7.53,190,70.53,15.79,2.63,11.05,49.63,0.00,60553.24,588566.92,28225.72,Mexico,2013
Fuels,23107901.10,35151621.71,10.22,12.42,1.63,-0.65,-1.34,0.00,0.00,38,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,34780875.77,1.61,6.62,38,13.16,28.95,52.63,5.26,8.98,0.00,34704924.25,34704924.25,75951.52,Mexico,2013
Hides and Skins,606896.75,267287.11,0.27,0.09,0.54,4.52,0.60,0.00,0.00,190,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,264883.25,4.17,5.12,190,82.63,16.84,0.00,0.53,20.00,0.00,0.00,261695.54,3187.70,Mexico,2013
Mach and Elec,75147321.04,100515136.53,33.24,35.50,0.65,2.86,0.59,0.00,0.00,1195,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100092461.15,1.47,1.51,1195,48.03,51.55,0.33,0.08,15.00,0.00,14129.24,59374522.06,40717939.08,Mexico,2013
Metals,17504758.64,10016939.57,7.74,3.54,1.12,-2.58,-0.08,0.00,0.00,822,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,9853501.81,1.71,1.71,822,41.61,53.28,3.28,1.82,15.00,0.00,186579.36,5437705.82,4415795.99,Mexico,2013
Minerals,2160446.52,447610.18,0.96,0.16,1.25,-8.39,1.05,0.00,0.00,74,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,393361.06,0.45,0.33,74,8.11,79.73,0.00,12.16,12.03,0.00,0.00,87099.45,306261.61,Mexico,2013
Miscellaneous,19020857.17,28462393.07,8.41,10.05,0.76,-1.29,-5.12,0.00,0.00,670,0.00,98.96,0.00,1.04,0.00,0.00,0.00,0.00,21050635.68,2.31,1.07,670,45.52,40.60,8.06,5.82,32.00,0.00,49098.34,6826817.59,14223818.08,Mexico,2013
Plastic or Rubber,18462381.73,6122756.36,8.17,2.16,1.34,1.78,1.75,0.00,0.00,348,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,6008498.18,3.67,3.95,348,78.74,21.26,0.00,0.00,14.00,0.00,0.00,5662611.75,345886.44,Mexico,2013
Stone and Glass,1999279.87,9709103.93,0.88,3.43,1.05,-0.04,-1.04,0.00,0.00,354,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,9641151.66,3.47,2.47,354,65.54,32.77,0.00,1.69,38.00,0.00,0.00,8939772.67,701378.99,Mexico,2013
Textiles and Clothing,5407941.94,5430533.48,2.39,1.92,1.00,2.23,2.69,0.00,0.00,1236,0.00,99.76,0.00,0.24,1.87,0.00,0.00,34.89,5387898.55,9.08,10.30,1236,81.96,12.62,0.49,4.94,32.00,0.00,47.54,5290966.75,96966.69,Mexico,2013
Transportation,22752300.58,61064893.93,10.06,21.57,1.15,1.06,1.63,0.00,0.00,210,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,60719676.54,2.95,7.31,210,50.95,49.05,0.00,0.00,25.00,0.00,0.00,58346385.55,2373290.99,Mexico,2013
Vegetable,8327404.07,9987013.32,3.68,3.53,1.37,3.95,3.16,0.02,0.00,428,0.00,99.30,0.00,0.70,5.91,0.00,0.00,36451.19,9510537.40,3.86,4.17,428,34.11,22.66,0.47,42.76,131.80,0.00,332284.12,8973824.36,573164.23,Mexico,2013
Wood,5736148.98,1719440.85,2.54,0.61,1.40,1.73,0.63,0.00,0.00,392,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,1486079.33,0.68,0.44,392,18.62,80.61,0.00,0.77,18.00,0.00,0.00,245455.80,1240623.52,Mexico,2013
All Products,240247089.96,296855758.71,100.00,100.00,1.00,2.43,2.13,0.03,0.02,8265,1.46,98.06,0.04,0.44,131.80,0.00,6181.41,1603995.99,286864875.10,3.78,3.84,8265,55.49,34.26,2.14,8.11,350.00,0.00,32561774.15,214628970.56,73839900.53,Mexico,2014
Capital goods,98525047.90,135881800.53,41.01,45.77,0.76,0.88,2.66,0.00,0.00,1350,0.00,99.70,0.00,0.30,0.00,0.00,0.00,0.00,135523557.25,1.57,4.27,1350,46.52,52.30,0.52,0.67,25.00,0.00,39776.03,88169136.42,47354420.84,Mexico,2014
Consumer goods,65343578.66,83498743.20,27.20,28.13,1.24,-0.48,1.48,0.08,0.05,3258,3.53,95.98,0.03,0.46,131.80,0.00,112.08,1435912.97,80925917.27,5.23,3.73,3258,61.91,23.51,3.65,10.93,350.00,0.00,2865665.57,71355019.51,11006810.73,Mexico,2014
Intermediate goods,49849268.66,26293321.38,20.75,8.86,1.33,-1.89,0.06,0.01,0.01,2760,0.22,99.57,0.00,0.22,17.50,0.00,0.00,144589.43,25753376.31,3.89,1.63,2760,58.80,36.34,0.91,3.95,350.00,0.00,242365.80,12860882.81,13037082.94,Mexico,2014
Raw materials,16312673.28,42795005.99,6.79,14.42,1.66,-5.13,-0.19,0.00,0.00,533,0.00,99.06,0.00,0.94,5.99,0.00,0.00,11016.43,40521929.77,2.10,3.57,533,26.08,43.34,1.31,29.27,350.00,0.00,28475231.34,39093610.91,1439335.28,Mexico,2014
Animal,5753759.03,2323972.50,2.39,0.78,1.58,6.19,5.12,0.28,0.08,360,15.83,80.28,0.83,3.06,25.00,0.00,6181.41,84038.09,2239934.41,2.63,3.45,360,39.17,29.17,3.61,28.06,105.31,0.00,6302.96,1839669.32,484303.18,Mexico,2014
Chemicals,16304862.06,4037355.19,6.79,1.36,1.14,0.80,0.50,0.00,0.00,1091,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,4038396.37,2.95,2.24,1091,70.39,28.96,0.00,0.64,6.50,0.00,0.00,2218700.83,1819695.54,Mexico,2014
Food Products,5182605.57,8581728.77,2.16,2.89,1.47,0.28,0.23,0.56,0.48,626,10.22,88.18,0.00,1.60,131.80,0.00,0.00,1486360.74,7095368.03,9.64,7.76,626,44.57,15.50,7.35,32.59,350.00,0.00,1289101.73,5564627.68,3017101.09,Mexico,2014
Footwear,167953.93,579715.48,0.07,0.20,0.11,5.41,-1.20,0.00,0.00,191,0.00,99.48,0.00,0.52,0.00,0.00,0.00,0.00,579715.48,8.15,7.65,191,70.16,16.23,2.62,10.99,48.68,0.00,56764.00,550922.82,28792.66,Mexico,2014
Fuels,23666597.85,30702633.39,9.85,10.34,1.64,0.48,0.60,0.00,0.00,39,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,30702633.39,1.40,6.47,39,12.82,30.77,51.28,5.13,9.09,0.00,30596931.76,30596931.76,105701.63,Mexico,2014
Hides and Skins,602411.21,315564.45,0.25,0.11,0.52,7.22,5.28,0.00,0.00,199,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,315564.45,4.24,5.16,199,83.42,16.08,0.00,0.50,20.00,0.00,0.00,312048.29,3516.16,Mexico,2014
Mach and Elec,81379374.69,103528299.59,33.87,34.88,0.67,1.26,2.39,0.00,0.00,1171,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,103595162.72,1.45,1.54,1171,47.91,51.67,0.34,0.09,12.50,0.00,6030.79,62615565.31,40979597.41,Mexico,2014
Metals,18875265.61,11347359.64,7.86,3.82,1.09,3.58,2.10,0.00,0.00,831,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,11347359.63,1.70,1.59,831,41.52,53.31,3.13,2.05,15.00,0.00,189189.69,5953543.48,5393816.16,Mexico,2014
Minerals,2809670.39,519791.72,1.17,0.18,1.20,-3.13,-5.42,0.00,0.00,75,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,519791.72,0.44,0.50,75,8.00,81.33,0.00,10.67,13.32,0.00,0.00,139727.14,380064.58,Mexico,2014
Miscellaneous,20289447.20,31483178.46,8.45,10.61,0.72,8.64,5.04,0.00,0.00,662,0.00,98.94,0.00,1.06,0.00,0.00,0.00,0.00,23336282.80,2.38,1.13,662,45.17,40.03,8.91,5.89,41.63,0.00,57997.69,7724413.33,15611869.48,Mexico,2014
Plastic or Rubber,20045009.42,6771065.64,8.34,2.28,1.33,3.51,3.00,0.00,0.00,346,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,6733298.31,3.75,4.00,346,79.77,20.23,0.00,0.00,14.00,0.00,0.00,6314061.87,419236.44,Mexico,2014
Stone and Glass,2117397.87,8538603.99,0.88,2.88,1.04,5.18,4.26,0.00,0.00,361,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,8538603.99,3.52,2.57,361,64.82,33.24,0.00,1.94,38.00,0.00,0.00,7596301.61,942302.38,Mexico,2014
Textiles and Clothing,5761962.44,5534763.34,2.40,1.86,0.96,2.48,0.07,0.00,0.00,1243,0.00,99.76,0.00,0.24,2.06,0.00,0.00,0.53,5534732.04,9.16,10.27,1243,82.86,11.99,0.16,4.99,32.00,0.00,5.99,5443787.07,90945.49,Mexico,2014
Transportation,23010841.76,69791404.10,9.58,23.51,1.15,3.99,3.41,0.00,0.00,211,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,69791404.10,3.20,7.74,211,51.66,48.34,0.00,0.00,25.00,0.00,0.00,67188260.43,2603143.67,Mexico,2014
Vegetable,8451393.39,10909294.75,3.52,3.67,1.43,-0.67,1.34,0.02,0.00,446,0.00,99.10,0.00,0.90,6.16,0.00,0.00,33596.63,10874691.40,3.91,4.00,446,33.18,22.42,0.45,43.95,163.80,0.00,359449.55,10308694.69,599593.34,Mexico,2014
Wood,5828537.54,1891027.71,2.43,0.64,1.39,1.67,0.98,0.00,0.00,413,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,1621936.27,0.77,0.43,413,20.58,78.45,0.00,0.97,18.00,0.00,0.00,261714.95,1360221.32,Mexico,2014
All Products,235745087.29,299181820.27,100.00,100.00,1.00,-0.59,-2.21,0.02,0.01,8249,1.43,98.11,0.04,0.42,25.00,0.00,6907.41,1637319.27,288494684.91,3.74,3.81,8249,54.88,35.00,2.19,7.93,350.00,0.00,16128616.57,208668138.20,81463865.97,Mexico,2015
Capital goods,102844716.84,148945047.15,43.63,49.78,0.78,1.11,0.54,0.00,0.00,1370,0.00,99.71,0.00,0.29,0.00,0.00,0.00,0.00,148464084.18,1.55,4.12,1370,46.06,52.77,0.51,0.66,25.00,0.00,48990.07,93649198.54,54814885.65,Mexico,2015
Consumer goods,60846629.75,87286029.55,25.81,29.17,1.24,-1.42,-3.04,0.06,0.04,3275,3.45,96.09,0.03,0.43,25.00,0.00,283.86,1513681.48,85217028.49,5.25,3.57,3275,61.95,23.82,3.45,10.78,350.00,0.00,2096186.68,74917301.07,11813408.91,Mexico,2015
Intermediate goods,46846792.11,25490214.11,19.87,8.52,1.29,-2.03,-4.88,0.01,0.01,2707,0.18,99.56,0.00,0.26,17.50,0.00,0.00,104837.45,24795916.61,3.78,1.65,2707,57.37,37.72,1.00,3.92,350.00,0.00,235036.20,12284649.82,12616104.24,Mexico,2015
Raw materials,14948417.53,28410713.36,6.34,9.50,1.72,-5.92,-5.76,0.01,0.00,540,0.00,98.89,0.00,1.11,5.89,0.00,0.00,6646.06,26034427.99,2.29,3.79,540,26.11,44.07,2.41,27.41,350.00,0.00,13136266.21,24793866.35,1247207.70,Mexico,2015
Animal,4753755.91,2756170.03,2.02,0.92,1.56,-8.84,-10.92,0.26,0.08,376,15.16,80.85,0.80,3.19,25.00,0.00,6907.41,87472.50,2668697.53,2.62,3.69,376,38.56,29.79,3.72,27.93,105.78,0.00,10946.90,2233498.02,522672.01,Mexico,2015
Chemicals,14657606.32,3942269.58,6.22,1.32,1.11,-4.01,-6.88,0.00,0.00,1071,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,3943752.33,2.94,2.31,1071,70.40,28.76,0.00,0.84,6.50,0.00,0.00,2189411.25,1754341.08,Mexico,2015
Food Products,5100508.97,9127359.76,2.16,3.05,1.54,-0.63,0.06,0.33,0.36,645,9.46,88.84,0.00,1.71,20.00,0.00,0.00,1521173.36,7606186.40,9.91,8.88,645,43.41,17.05,7.13,32.40,350.00,0.00,1344034.47,5832485.88,3294873.88,Mexico,2015
Footwear,190603.82,585174.21,0.08,0.20,0.11,1.92,0.75,0.00,0.00,195,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,585174.21,7.95,7.53,195,69.74,16.92,3.08,10.26,48.76,0.00,85990.21,552228.70,32945.52,Mexico,2015
Fuels,18036955.96,13971892.79,7.65,4.67,1.78,-10.77,-8.62,0.00,0.00,50,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,13971892.79,1.31,6.50,50,10.00,40.00,40.00,10.00,17.19,0.00,13922759.55,13927074.78,44818.02,Mexico,2015
Hides and Skins,650846.42,338149.82,0.28,0.11,0.54,-0.06,0.12,0.00,0.00,191,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,338149.82,4.34,4.86,191,83.77,15.71,0.00,0.52,20.00,0.00,0.00,335602.96,2546.86,Mexico,2015
